0,-50,-167.5
-10,-130,-165.0
-10,-100,-162.5
-40,-130,-160.0
20,-130,-157.5
30,-50,-157.5
-50,-100,-155.0
20,-100,-152.5
-40,-40,-147.5
-20,-70,-147.5
-50,-70,-145.0
10,-70,-145.0
-10,-40,-140.0
-20,-110,-135.0
-30,-140,-132.5
40,-120,-132.5
0,-150,-130.0
10,-120,-130.0
20,-40,-130.0
40,-90,-127.5
-10,-80,-120.0
-50,-50,-117.5
-40,-80,-117.5
20,-70,-115.0
-20,-50,-112.5
40,-140,-110.0
-30,-120,-107.5
10,-100,-107.5
-20,-150,-105.0
10,-130,-100.0
10,-160,-97.5
40,-110,-95.0
-30,-70,-90.0
0,-70,-87.5
-30,-100,-85.0
-20,-130,-80.0
0,-100,-77.5
10,-130,-67.5
